ID,Name,Type1,Type2,Stat Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Pokedex Entry,Images
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,For some time after its birth it uses the nutrients that are packed into the seed on its back in order to grow.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,The more sunlight Ivysaur bathes in the more strength wells up within it allowing the bud on its back to grow larger.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,While it basks in the sun it can convert the light into energy. As a result it is more powerful in the summertime.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png
4,Charmander,Fire, ,309,39,52,43,60,50,65,1,The flame on its tail shows the strength of its life-force. If Charmander is weak the flame also burns weakly.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png
5,Charmeleon,Fire, ,405,58,64,58,80,65,80,1,When it swings its burning tail the temperature around it rises higher and higher tormenting its opponents.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,If Charizard becomes truly angered the flame at the tip of its tail burns in a light blue shade.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png
7,Squirtle,Water, ,314,44,48,65,50,64,43,1,After birth its back swells and hardens into a shell. It sprays a potent foam from its mouth.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png
8,Wartortle,Water, ,405,59,63,80,65,80,58,1,Wartortle’s long furry tail is a symbol of longevity so this Pokemon is quite popular among older people.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png
9,Blastoise,Water, ,530,79,83,100,85,105,78,1,It deliberately increases its body weight so it can withstand the recoil of the water jets it fires.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png
10,Caterpie,Bug, ,195,45,30,35,20,20,45,1,For protection it releases a horrible stench from the antenna on its head to drive away enemies.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png
11,Metapod,Bug, ,205,50,20,55,25,25,30,1,It is waiting for the moment to evolve. At this stage it can only harden so it remains motionless to avoid attack.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,It loves the nectar of flowers and can locate flower patches that have even tiny amounts of pollen.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,Able to move only slightly. When endangered it may stick out its stinger and poison its enemy.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,Very docile. If attacked it will often kick up sand to protect itself rather than fight back.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,This Pokemon is full of vitality. It constantly flies around its large territory in search of prey.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,This Pokemon flies at Mach 2 speed seeking prey. Its large talons are feared as wicked weapons.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png
19,Rattata,Normal, ,253,30,56,35,25,35,72,1,Will chew on anything with its fangs. If you see one you can be certain that 40 more live in the area.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png
20,Raticate,Normal, ,413,55,81,60,50,70,97,1,Its hind feet are webbed. They act as flippers so it can swim in rivers and hunt for prey.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png
